%bugsTrend,Trend,%bugsM0,M0,%bugsKnee,Knee,%bugsArrival,Arrival,%bugsMth,Mth,%bugsMhJK,MhJK,%bugsMhCH,MhCH,%bugsMtCH,MtCH
0.324264706,0.924,0.429802956,0.860824742,0.571428571,0.812261072,0.42254902,0.88172043,0.844129555,0.538461538,0.136363636,0.922828784,0.84,0.542009401,0.136363636,0.922828784
0.387992832,0.895725229,0.666666667,0.764705882,0.814814815,0.6640625,0.428571429,0.873809092,0.870833333,0.515537541,0.168699187,0.897105045,0.875,0.506269776,0.168699187,0.897105045
0.444444444,0.870951626,0.692307692,0.753313049,0.899494949,0.537142857,0.455555556,0.867487382,0.884615385,0.461538462,0.214285714,0.873417722,0.878676471,0.491981074,0.214285714,0.873417722
0.524404762,0.830601093,0.764705882,0.685127455,0.971825397,0.350997225,0.5,0.840897477,0.924501425,0.423523573,0.25,0.847617512,0.882352941,0.450913925,0.25,0.847617512
0.57518797,0.806653526,0.806003584,0.648608994,1,0,0.53452381,0.843792766,0.927248677,0.387958649,0.290994624,0.822220431,0.890873016,0.435483871,0.290994624,0.822220431
0.692307692,0.76142132,0.814814815,0.642794262,1,0,0.538690476,0.834142395,0.933333333,0.423305613,0.333333333,0.797468354,0.90625,0.415384615,0.333333333,0.797468354
0.707107843,0.747077234,0.819805195,0.625,1,0,0.545454545,0.84,0.942810458,0.361910594,0.355042017,0.774991211,0.918333333,0.4,0.355042017,0.774991211
0.740740741,0.704738016,0.857142857,0.585253456,1,0,0.555555556,0.833333333,0.944444444,0.303846154,0.396428571,0.756015918,0.928571429,0.389312977,0.396428571,0.756015918
0.780193237,0.668202765,0.862852665,0.5716369,1,0,0.571428571,0.815970346,0.952380952,0.345975929,0.414855072,0.80952189,0.940285205,0.398230088,0.888888889,0.472
0.811011905,0.652307692,0.865151515,0.550124533,1,0,0.666666667,0.761429733,0.952380952,0.348114275,0.428571429,0.815587045,0.944444444,0.256812045,0.916666667,0.446601942
0.826086957,0.624196725,0.875,0.530845131,1,0,0.666666667,0.740780543,0.961538462,0.230769231,0.515771526,0.766193806,0.947368421,0.355704698,0.916666667,0.430952381
0.851851852,0.60473789,0.9,0.494699252,1,0,0.683014354,0.720930233,0.967741935,0.250322462,0.518064516,0.737817976,0.947368421,0.351333091,0.934782609,0.331096197
0.857142857,0.593348155,0.919459459,0.473224513,1,0,0.731481481,0.705320766,0.967741935,0.254772648,0.616202946,0.674742781,0.948684211,0.297818949,0.936141304,0.358778626
0.862407032,0.579732373,0.925462963,0.452891292,1,0,0.75,0.690483761,0.96875,0.197902098,0.666666667,0.688577586,0.956521739,0.258505639,0.944444444,0.355152074
0.88,0.55102916,0.928571429,0.449783994,1,0,0.75,0.682760629,0.969223485,0.029126214,0.682857143,0.638965517,0.956521739,0.276563267,0.944444444,0.285355401
0.892080745,0.512298907,0.928571429,0.458646617,1,0,0.779513889,0.679522335,0.981132075,0.034022323,0.696153846,0.583574181,0.962962963,0.036590808,0.947368421,0.320583942
0.897368421,0.500626566,0.944444444,0.412995324,1,0,0.786893705,0.653762904,1,0.058206286,0.734313725,0.540277363,0.963624339,0.223529412,0.956521739,0.259404664
0.91547619,0.484536082,0.944444444,0.407734205,1,0,0.8,0.649347728,1,0.043478261,0.775252525,0.570175439,0.96547619,0.044247788,0.959166667,0.044351817
0.926377597,0.453835227,0.960769231,0.353553922,1,0,0.8,0.632818826,1,0.196,0.779513889,0.581836915,0.967204301,0.174075531,0.96,0.252167791
0.934057971,0.420168067,0.967741935,0.343283765,1,0,0.846978558,0.58974359,1,0.111378522,0.8,0.503424658,0.970142602,0.05982906,0.960392157,0.23277592
0.945906433,0.398968112,0.970588235,0.331182796,1,0,0.851851852,0.592443503,1,0.039230769,0.80952381,0.474315479,0.970142602,0.187893592,0.961161388,0.231849136
0.952272727,0.366648511,1,0.210259609,1,0,0.875959079,0.578811799,1,0.221387734,0.811011905,0.510602911,0.971008403,0.176470588,0.962962963,0.13830672
0.958333333,0.35955984,1,0.088601754,1,0,0.882352941,0.554720134,1,0.128508531,0.8125,0.475364078,0.972597598,0.084447415,0.964285714,0.075630252
0.962250712,0.35230611,1,0.056603774,1,0,0.904545455,0.562770563,1,0.038167939,0.824808184,0.38382993,0.974358974,0.153129286,0.96547619,0.213110438
0.970588235,0.346404707,1,0.229355204,1,0,0.919459459,0.540803492,1,0.171755725,0.833333333,0.411764706,0.974646983,0.076923077,0.967204301,0.195808383
0.9775,0.340173183,1,0.258417183,1,0,0.922962963,0.519017094,1,0.064885496,0.846153846,0.35483871,0.976467331,0.090909091,0.967741935,0.213592233
1,0.294416244,1,0.170772589,1,0,0.939338235,0.426440425,1,0.030769231,0.888888889,0.386171338,0.976467331,0.104686358,0.968719453,0.163253857
1,0.270610404,1,0.189873418,1,0,0.941176471,0.480863039,1,0.119911991,0.907670455,0.294117647,0.977179487,0.128787879,0.96969697,0.191368788
1,0.257159101,1,0.091966173,1,0,0.947368421,0.44036549,1,0.058823529,0.9375,0.17146163,0.979583333,0.150978815,0.970142602,0.046256684
1,0.237108262,1,0.286421499,1,0.206625016,0.967741935,0.399977216,1,0.032408102,0.941176471,0.111111111,0.994949495,0.054054054,0.971008403,0.130775802
1,0.221870605,1,0.138530735,1,0.084181098,1,0.346451128,1,0.075844716,0.944444444,0.057287394,1,0.046745304,0.977733795,0.090849068
1,0.210798003,1,0.067501627,1,0,1,0.247047244,1,0.047567873,0.944444444,0.076923077,1,0.125268958,1,0.057189542
